player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90,full_name,first_name,second_name,now_cost,element_type,goals_conceded_per90,projected_points_per_90
Patson Daka,271,4,3,231,5,223.6,1.69,5.24,3.55,20.81,24,4,95.1,295.2,1169,0,0,0,0,0,100540.0,13,440.0,70,253507,331508,2,30,£6.0,£5.6,£-0.4,-78001,12.988888888888887,0.1301112061591103,0.4034217279726262,0.2733105218135158,1.602138579982891,0.3079555175363558,1.8477331052181352,0.0,0.3079555175363558,0.2309666381522669,Patson Daka,Patson,Daka,£5.6,FWD,1.8477331052181352,3.8196321642429423
Pedro Lomba Neto,486,2,0,124,5,309.5,1.64,2.76,1.12,14.34,15,0,60.9,96.8,962,0,0,0,0,0,353067.0,13,203.0,37,209208,1470394,1,18,£5.5,£4.9,£-0.6,-1261186,10.688888888888888,0.1534303534303534,0.2582120582120582,0.1047817047817048,1.3415800415800416,0.0,1.4033264033264037,0.0,0.1871101871101871,0.0,Pedro Lomba Neto,Pedro,Lomba Neto,£4.9,MID,1.4033264033264035,2.772765072765073
Pedro Porro,733,3,5,253,2,377.9,2.29,4.1000000000000005,1.81,19.42,26,3,79.6,268.6,1132,0,0,0,0,0,72880.0,13,150.0,59,241698,117737,0,15,£5.0,£4.8,£-0.2,123961,12.577777777777778,0.1820671378091873,0.3259717314487633,0.1439045936395759,1.543992932862191,0.2385159010600706,2.067137809187279,0.0,0.2385159010600706,0.3975265017667844,Pedro Porro,Pedro,Porro,£4.8,DEF,2.067137809187279,4.4582845737083865
Pervis Estupiñán,586,7,15,593,10,752.9,3.88,5.68,1.8,41.6,43,1,161.3,570.2,2674,0,0,0,0,0,807845.0,31,295.0,128,4657002,724629,4,35,£4.5,£5.0,£0.5,3932373,29.711111111111112,0.1305908750934928,0.1911742707554225,0.0605833956619296,1.400149588631264,0.0336574420344053,1.4472700074794316,0.0,0.2356020942408377,0.5048616305160808,Pervis Estupiñán,Pervis,Estupiñán,£5.0,DEF,1.4472700074794316,3.7955552005498245
Phil Foden,314,7,15,517,5,670.8,4.73,10.48,5.75,17.62,16,11,205.4,671.2,1832,0,0,0,0,0,1286848.0,22,712.0,142,4707517,4398197,1,32,£8.0,£8.0,£0.0,309320,20.355555555555554,0.2323689956331878,0.5148471615720525,0.2824781659388646,0.8656113537117905,0.5403930131004367,0.7860262008733625,0.0,0.343886462882096,0.7368995633187774,Phil Foden,Phil,Foden,£8.0,MID,0.7860262008733625,4.92156113537118
Philip Billing,70,2,14,475,9,388.8,2.56,7.16,4.6000000000000005,49.46,54,7,145.2,622.0,2766,0,0,0,0,0,91379.0,34,441.0,126,584960,516307,5,36,£5.5,£5.0,£-0.5,68653,30.73333333333333,0.0832971800433839,0.2329718004338394,0.1496746203904555,1.6093275488069414,0.227765726681128,1.75704989154013,0.0,0.0650759219088937,0.455531453362256,Philip Billing,Philip,Billing,£5.0,MID,1.75704989154013,3.1661605206073755
Philippe Coutinho Correia,29,0,1,98,3,152.5,0.65,2.02,1.37,8.11,9,1,48.8,119.2,777,0,0,0,0,0,431772.0,7,218.0,32,220472,1454078,3,20,£7.0,£6.6,£-0.4,-1233606,8.633333333333333,0.0752895752895752,0.233976833976834,0.1586872586872587,0.9393822393822394,0.1158301158301158,1.0424710424710426,0.0,0.0,0.1158301158301158,Philippe Coutinho Correia,Philippe,Coutinho Correia,£6.6,MID,1.0424710424710426,2.7992277992277987
Pierre-Emerick Aubameyang,617,0,3,61,1,59.4,0.18,1.71,1.53,8.66,8,1,28.5,55.0,546,0,0,0,0,0,112036.0,5,177.0,25,546505,555333,1,15,£9.0,£8.4,£-0.6,-8828,6.066666666666666,0.0296703296703296,0.2818681318681318,0.2521978021978022,1.4274725274725275,0.1648351648351648,1.3186813186813189,0.0,0.0,0.4945054945054945,Pierre-Emerick Aubameyang,Pierre-Emerick,Aubameyang,£8.4,FWD,1.3186813186813187,2.878571428571428
Pierre-Emile Højbjerg,433,5,10,629,10,501.7,3.13,5.15,2.02,45.05,57,4,150.0,758.0,3131,0,0,0,0,0,251929.0,35,237.0,120,854611,786277,5,35,£5.5,£5.3,£-0.2,68334,34.78888888888889,0.0899712551900351,0.1480357713190674,0.0580645161290322,1.2949536889172786,0.1149792398594698,1.6384541679974447,0.0,0.1437240498243372,0.2874480996486745,Pierre-Emile Højbjerg,Pierre-Emile,Højbjerg,£5.3,MID,1.6384541679974447,2.7831523474928135
Pontus Jansson,78,0,0,147,2,2.5,0.11,0.45,0.3399999999999999,13.51,14,1,23.4,176.2,722,0,0,0,0,0,66002.0,9,53.0,29,43270,204595,0,12,£4.5,£4.2,£-0.3,-161325,8.022222222222222,0.0137119113573407,0.0560941828254847,0.042382271468144,1.6840720221606649,0.1246537396121883,1.745152354570637,0.0,0.0,0.0,Pontus Jansson,Pontus,Jansson,£4.2,DEF,1.745152354570637,3.2421458666417204
Raheem Sterling,304,4,9,274,5,479.8,3.22,9.43,6.21,27.83,27,6,146.8,388.2,1886,0,0,0,0,0,518990.0,23,603.0,101,1365395,1557059,4,28,£10.0,£9.7,£-0.3,-191664,20.95555555555556,0.1536585365853658,0.4499999999999999,0.2963414634146341,1.3280487804878047,0.2863202545068929,1.288441145281018,0.0,0.1908801696712619,0.4294803817603393,Raheem Sterling,Raheem,Sterling,£9.7,MID,1.288441145281018,3.973462354188759
Raphaël Varane,329,0,2,392,10,74.0,0.51,1.26,0.75,27.27,22,0,58.8,387.0,1912,1,0,0,0,0,295933.0,22,124.0,77,720741,607394,1,24,£5.0,£4.8,£-0.2,113347,21.244444444444444,0.0240062761506276,0.0593096234309623,0.0353033472803347,1.2836297071129708,0.0,1.0355648535564854,0.0,0.0,0.0941422594142259,Raphaël Varane,Raphaël,Varane,£4.8,DEF,1.0355648535564854,3.40603090108734
Rasmus Kristensen,244,1,1,322,2,143.6,0.88,1.74,0.86,40.63,53,3,78.0,474.4,1957,0,0,0,0,0,43469.0,21,160.0,51,78346,90977,4,26,£5.0,£4.7,£-0.3,-12631,21.744444444444444,0.0404701073071027,0.0800204394481349,0.0395503321410321,1.8685232498722537,0.1379662749105774,2.437404190086868,0.0,0.0459887583035258,0.0459887583035258,Rasmus Kristensen,Rasmus,Kristensen,£4.7,DEF,2.437404190086868,3.1457157804993643
Rayan Aït-Nouri,487,0,0,194,4,130.5,0.8400000000000001,2.1,1.26,18.36,18,1,48.3,195.0,1067,1,0,0,0,0,108376.0,9,156.0,41,180729,283229,4,21,£4.5,£4.1,£-0.4,-102500,11.855555555555556,0.0708528584817244,0.1771321462043111,0.1062792877225866,1.5486410496719774,0.0843486410496719,1.5182755388940956,0.0,0.0,0.0,Rayan Aït-Nouri,Rayan,Aït-Nouri,£4.1,DEF,1.5182755388940956,3.541415027707212
Raúl Jiménez,476,2,0,65,2,116.0,0.55,3.1,2.55,16.0,18,0,46.3,74.6,839,0,0,0,0,0,34362.0,8,273.0,29,138559,125695,0,15,£7.0,£6.5,£-0.5,12864,9.322222222222225,0.0589988081048867,0.3325387365911799,0.2735399284862931,1.7163289630512513,0.0,1.930870083432657,0.0,0.2145411203814064,0.0,Raúl Jiménez,Raúl,Jiménez,£6.5,FWD,1.9308700834326578,2.957389749702026
Reece James,146,2,5,286,2,358.2,2.93,3.99,1.06,14.11,17,1,80.4,292.2,1242,0,0,0,0,0,2013539.0,14,153.0,44,3958111,7077246,4,16,£6.0,£5.8,£-0.2,-3119135,13.8,0.2123188405797101,0.2891304347826086,0.0768115942028985,1.022463768115942,0.072463768115942,1.2318840579710144,0.0,0.144927536231884,0.3623188405797101,Reece James,Reece,James,£5.8,DEF,1.2318840579710144,4.28659567488962
Remo Freuler,582,0,0,267,6,174.7,0.79,1.21,0.42,41.93,47,0,50.3,272.2,2157,0,0,0,0,0,2300.0,24,54.0,54,5393,5388,4,28,£5.0,£4.9,£-0.1,5,23.966666666666665,0.032962447844228,0.0504867872044506,0.0175243393602225,1.7495132127955495,0.0,1.96105702364395,0.0,0.0,0.0,Remo Freuler,Remo,Freuler,£4.9,MID,1.96105702364395,2.093254520166898
Renan Augusto Lodi dos Santos,602,2,3,363,5,208.2,1.3,2.24,0.94,41.3,48,0,62.5,319.0,2211,0,0,0,0,0,19368.0,26,97.0,56,71067,56221,7,28,£4.5,£4.3,£-0.2,14846,24.566666666666663,0.0529172320217096,0.091180461329715,0.0382632293080054,1.6811397557666214,0.0,1.9538670284938944,0.0,0.0814111261872456,0.1221166892808683,Renan Augusto Lodi dos Santos,Renan Augusto,Lodi dos Santos,£4.3,DEF,1.9538670284938942,2.9720554899135605
Richarlison de Andrade,454,5,2,165,3,221.0,1.46,4.89,3.43,14.99,18,1,82.0,201.6,995,0,0,0,0,0,78985.0,12,401.0,54,212866,249041,3,27,£8.5,£8.4,£-0.1,-36175,11.055555555555555,0.1320603015075377,0.4423115577889447,0.310251256281407,1.3558793969849248,0.0904522613065326,1.628140703517588,0.0,0.4522613065326633,0.1809045226130653,Richarlison de Andrade,Richarlison,de Andrade,£8.4,FWD,1.6281407035175879,3.677889447236181
Rico Henry,85,3,4,505,11,401.9,2.9,4.7,1.8,48.49,46,0,104.5,444.4,3240,0,0,0,0,0,226030.0,37,197.0,112,960951,620807,4,37,£4.5,£4.4,£-0.1,340144,36.0,0.0805555555555555,0.1305555555555555,0.05,1.3469444444444445,0.0,1.2777777777777777,0.0,0.0833333333333333,0.1111111111111111,Rico Henry,Rico,Henry,£4.4,DEF,1.2777777777777777,3.4732122197884303
Rico Lewis,573,0,0,168,2,152.4,1.63,1.84,0.21,8.9,8,0,30.7,114.6,900,0,0,0,0,0,80002.0,10,40.0,29,549271,294309,1,14,£4.0,£3.8,£-0.2,254962,10.0,0.163,0.184,0.0209999999999999,0.89,0.0,0.8,0.0,0.0,0.0,Rico Lewis,Rico,Lewis,£3.8,DEF,0.8,4.0274694337391335
Riyad Mahrez,303,12,11,470,6,773.4,5.22,10.62,5.4,18.28,23,5,182.5,533.6,1913,0,0,0,0,0,570530.0,22,520.0,126,3930988,2192110,2,30,£8.0,£7.5,£-0.5,1738878,21.25555555555556,0.2455828541557762,0.4996340825927861,0.2540512284370099,0.8600104547830633,0.2352326189231573,1.0820700470465237,0.0,0.5645582854155776,0.5175117616309461,Riyad Mahrez,Riyad,Mahrez,£7.5,MID,1.0820700470465237,4.438421327757449
Rob Holding,5,0,0,120,0,10.3,0.15,0.47,0.32,11.14,13,1,21.6,152.0,562,0,0,0,0,0,13848.0,6,54.0,21,22872,27061,0,14,£4.5,£4.2,£-0.3,-4189,6.2444444444444445,0.0240213523131672,0.0752669039145907,0.0512455516014234,1.7839857651245552,0.1601423487544484,2.0818505338078293,0.0,0.0,0.0,Rob Holding,Rob,Holding,£4.2,DEF,2.0818505338078293,3.255528872258075
Robert Sánchez,113,0,10,380,6,0.1,0.01,0.01,0.0,27.6,30,0,43.9,439.0,2070,0,0,1,0,48,1231983.0,23,0.0,82,1981668,2199339,2,23,£4.5,£4.4,£-0.1,-217671,23.0,0.0004347826086956,0.0004347826086956,0.0,1.2,0.0,1.3043478260869563,2.0869565217391304,0.0,0.4347826086956521,Robert Sánchez,Robert,Sánchez,£4.4,GK,1.3043478260869565,3.145739486498341
Roberto Firmino,279,4,12,447,4,293.2,2.16,7.640000000000001,5.48,19.91,17,11,162.79999999999998,542.0,1202,0,0,0,0,0,414738.0,13,792.0,104,1963964,1704495,0,25,£8.0,£8.0,£0.0,259469,13.355555555555556,0.1617304492512479,0.5720465890183029,0.4103161397670549,1.490765391014975,0.8236272878535773,1.2728785357737105,0.0,0.2995008319467554,0.8985024958402662,Roberto Firmino,Roberto,Firmino,£8.0,FWD,1.2728785357737105,5.159733777038269
Robin Koch,230,0,2,447,5,72.9,0.47,2.06,1.59,63.02,74,0,86.3,589.2,3175,1,0,0,0,0,17155.0,36,201.0,55,31019,34813,7,36,£4.5,£4.5,£0.0,-3794,35.27777777777778,0.0133228346456692,0.0583937007874015,0.0450708661417322,1.7863937007874011,0.0,2.0976377952755905,0.0,0.0,0.0566929133858267,Robin Koch,Robin,Koch,£4.5,DEF,2.0976377952755905,2.7358156550392203
Rodrigo Bentancur,440,2,7,342,6,180.2,0.68,2.94,2.26,19.71,24,5,90.7,489.6,1501,0,0,0,0,0,37043.0,17,236.0,71,105332,132892,8,18,£5.5,£5.3,£-0.2,-27560,16.677777777777777,0.0407728181212525,0.1762824783477681,0.1355096602265156,1.1818121252498337,0.2998001332445036,1.4390406395736175,0.0,0.1199200532978014,0.4197201865423051,Rodrigo Bentancur,Rodrigo,Bentancur,£5.3,MID,1.4390406395736177,3.329313790806129
Rodrigo Hernandez,315,6,7,606,11,555.9,3.49,8.02,4.53,25.24,26,2,176.9,716.0,2911,0,0,0,0,0,201792.0,34,493.0,108,351985,414885,5,36,£6.0,£5.6,£-0.4,-62900,32.34444444444444,0.1079010649261422,0.2479560288560632,0.140054963929921,0.7803503950532463,0.061834421161113,0.8038474750944693,0.0,0.185503263483339,0.2164204740638955,Rodrigo Hernandez,Rodrigo,Hernandez,£5.6,MID,0.8038474750944693,2.944829955341807
Rodrigo Moreno,225,2,6,368,5,241.1,1.24,9.28,8.04,36.79,43,13,166.5,577.6,1928,0,0,0,0,0,707406.0,23,853.0,127,4873811,4388320,6,31,£6.0,£6.3,£0.3,485491,21.42222222222222,0.0578838174273858,0.433195020746888,0.3753112033195021,1.7173755186721993,0.6068464730290457,2.0072614107883817,0.0,0.0933609958506224,0.2800829875518672,Rodrigo Moreno,Rodrigo,Moreno,£6.3,MID,2.0072614107883817,4.6822614107883815
Romain Perraud,417,2,5,304,4,251.8,1.86,3.12,1.26,30.64,35,2,90.9,360.6,1828,1,0,0,0,0,50366.0,22,298.0,71,282159,250328,4,29,£4.5,£4.0,£-0.5,31831,20.31111111111111,0.0915754923413566,0.1536105032822757,0.062035010940919,1.5085339168490155,0.0984682713347921,1.7231947483588623,0.0,0.0984682713347921,0.2461706783369803,Romain Perraud,Romain,Perraud,£4.0,DEF,1.7231947483588623,3.5660336470469742
Roméo Lavia,321,1,0,317,4,247.1,0.62,1.04,0.42,41.72,50,1,64.2,344.8,2219,0,0,0,0,0,27290.0,26,46.0,57,89978,94652,9,29,£4.5,£4.5,£0.0,-4674,24.655555555555555,0.0251464623704371,0.0421811626858945,0.0170347003154574,1.6921135646687695,0.0405588102748986,2.0279405137449302,0.0,0.0405588102748986,0.0,Roméo Lavia,Roméo,Lavia,£4.5,MID,2.0279405137449302,2.2425416854438938
Ruben Loftus-Cheek,136,1,1,228,5,234.8,1.75,2.6,0.85,27.57,23,0,61.6,206.6,1530,1,0,0,0,0,14821.0,19,173.0,46,35607,37707,1,25,£5.0,£5.0,£0.0,-2100,17.0,0.1029411764705882,0.1529411764705882,0.0499999999999999,1.621764705882353,0.0,1.3529411764705883,0.0,0.0588235294117647,0.0588235294117647,Ruben Loftus-Cheek,Ruben,Loftus-Cheek,£5.0,MID,1.3529411764705883,2.367647058823529
Ryan Christie,69,2,2,225,3,421.7,2.07,4.96,2.89,30.87,35,1,110.5,282.0,1825,0,0,0,0,0,5868.0,22,400.0,64,8671,12626,2,32,£5.5,£5.3,£-0.2,-3955,20.27777777777778,0.1020821917808219,0.2446027397260274,0.1425205479452054,1.5223561643835617,0.0493150684931506,1.726027397260274,0.0,0.0986301369863013,0.0986301369863013,Ryan Christie,Ryan,Christie,£5.3,MID,1.726027397260274,2.7806575342465747
Ryan Fredericks,59,0,0,63,0,26.7,0.29,0.29,0.0,10.14,11,0,10.6,66.0,527,0,0,0,0,0,2735.0,5,12.0,12,3482,6158,1,12,£4.5,£4.4,£-0.1,-2676,5.855555555555555,0.0495256166982922,0.0495256166982922,0.0,1.73168880455408,0.0,1.8785578747628084,0.0,0.0,0.0,Ryan Fredericks,Ryan,Fredericks,£4.4,DEF,1.8785578747628084,2.7338795899875277
Ryan Sessegnon,436,1,0,121,1,103.0,1.1,2.74,1.64,10.48,15,2,54.3,148.6,805,0,0,0,0,0,92225.0,9,290.0,35,259569,311290,4,17,£4.5,£4.4,£-0.1,-51721,8.944444444444445,0.1229813664596273,0.3063354037267081,0.1833540372670807,1.1716770186335403,0.2236024844720497,1.6770186335403727,0.0,0.1118012422360248,0.0,Ryan Sessegnon,Ryan,Sessegnon,£4.4,DEF,1.6770186335403727,4.5665981594522025
Ryan Yates,387,3,0,177,5,97.3,0.43,2.42,1.99,29.34,36,0,53.1,206.8,1833,0,0,0,0,0,4010.0,21,233.0,53,7026,10072,5,26,£5.0,£5.0,£0.0,-3046,20.366666666666667,0.0211129296235679,0.1188216039279869,0.0977086743044189,1.4405891980360066,0.0,1.7675941080196398,0.0,0.1472995090016366,0.0,Ryan Yates,Ryan,Yates,£5.0,MID,1.7675941080196398,2.4968903436988543
Rúben Gato Alves Dias,312,0,1,432,9,83.7,0.34,1.7,1.36,17.36,16,0,62.5,416.8,1997,0,0,0,0,0,842335.0,22,124.0,80,1172089,1482421,3,26,£6.0,£6.0,£0.0,-310332,22.18888888888889,0.015322984476715,0.0766149223835753,0.0612919379068602,0.7823735603405108,0.0,0.7210816224336505,0.0,0.0,0.0450676014021031,Rúben Gato Alves Dias,Rúben,Gato Alves Dias,£6.0,DEF,0.7210816224336505,4.093950901760302
Rúben da Silva Neves,480,2,16,558,10,474.7,1.57,6.76,5.19,51.21,48,6,161.0,788.8,3020,0,0,0,0,0,212595.0,33,347.0,118,819980,676836,12,35,£5.5,£5.2,£-0.3,143144,33.55555555555556,0.0467880794701986,0.201456953642384,0.1546688741721854,1.5261258278145695,0.1788079470198675,1.4304635761589404,0.0,0.0596026490066225,0.4768211920529801,Rúben da Silva Neves,Rúben,da Silva Neves,£5.2,MID,1.4304635761589404,2.993278145695364
Sam Johnstone,175,0,5,159,3,0.0,0.0,0.0,0.0,8.81,10,0,15.6,155.0,810,0,0,0,0,26,38498.0,9,0.0,36,181435,79766,1,9,£4.5,£4.4,£-0.1,101669,9.0,0.0,0.0,0.0,0.9788888888888888,0.0,1.1111111111111112,2.888888888888889,0.0,0.5555555555555556,Sam Johnstone,Sam,Johnstone,£4.4,GK,1.1111111111111112,3.409842661501418
Samuel Edozie,624,0,0,82,1,110.3,0.43,1.31,0.88,7.27,9,0,33.2,89.2,554,0,0,0,0,0,1178.0,5,133.0,23,2488,2639,0,17,£5.0,£4.6,£-0.4,-151,6.155555555555556,0.06985559566787,0.2128158844765343,0.1429602888086642,1.181046931407942,0.0,1.4620938628158844,0.0,0.0,0.0,Samuel Edozie,Samuel,Edozie,£4.6,MID,1.4620938628158844,2.4621841155234656
Saïd Benrahma,464,3,5,360,6,613.9,3.28,10.32,7.04,32.76,32,6,177.7,510.0,2059,0,0,0,0,0,113798.0,22,653.0,106,327143,398725,0,35,£6.0,£5.5,£-0.5,-71582,22.877777777777776,0.1433705682370082,0.4510927634774163,0.307722195240408,1.4319572608062163,0.2622632345798931,1.3987372510927636,0.0,0.1311316172899465,0.2185526954832443,Saïd Benrahma,Saïd,Benrahma,£5.5,MID,1.3987372510927636,3.836716852841185
Scott McKenna,385,0,0,275,5,93.9,0.42,0.49,0.0699999999999999,28.95,32,0,41.8,278.8,1570,0,0,0,0,0,10771.0,19,46.0,40,15827,24018,4,20,£4.5,£4.4,£-0.1,-8191,17.444444444444443,0.0240764331210191,0.0280891719745222,0.0040127388535031,1.6595541401273886,0.0,1.834394904458599,0.0,0.0,0.0,Scott McKenna,Scott,McKenna,£4.4,DEF,1.834394904458599,2.748020639757059
Scott McTominay,338,0,2,146,4,122.8,0.99,2.95,1.96,22.38,20,1,51.7,242.2,1149,0,0,0,0,0,19930.0,10,156.0,36,25667,44357,8,24,£5.0,£4.9,£-0.1,-18690,12.766666666666667,0.0775456919060052,0.2310704960835509,0.1535248041775457,1.7530026109660573,0.0783289817232375,1.5665796344647518,0.0,0.0,0.1566579634464751,Scott McTominay,Scott,McTominay,£4.9,MID,1.5665796344647518,2.695953002610966
Seamus Coleman,178,0,5,314,5,108.7,0.92,1.22,0.3,33.5,25,1,50.4,297.8,1654,0,0,0,0,0,46395.0,20,95.0,63,350366,185605,1,23,£4.5,£4.1,£-0.4,164761,18.377777777777776,0.0500604594921402,0.066384522370012,0.0163240628778718,1.8228536880290207,0.0544135429262394,1.3603385731559856,0.0,0.0,0.2720677146311971,Seamus Coleman,Seamus,Coleman,£4.1,DEF,1.3603385731559856,3.123579371261588
Sean Longstaff,370,5,2,347,13,372.0,2.57,5.87,3.3,27.57,18,1,116.8,385.2,2514,0,0,0,0,0,155858.0,28,408.0,93,366110,403817,2,33,£4.5,£4.3,£-0.2,-37707,27.933333333333334,0.0920047732696897,0.2101431980906921,0.1181384248210023,0.9869928400954654,0.035799522673031,0.6443914081145584,0.0,0.1789976133651551,0.071599045346062,Sean Longstaff,Sean,Longstaff,£4.3,MID,0.6443914081145584,2.7913484486873505
Serge Aurier,628,0,8,336,6,164.1,0.92,1.66,0.74,33.13,31,1,70.9,431.0,1943,0,0,0,0,0,45396.0,22,112.0,70,234672,219436,2,24,£4.5,£4.3,£-0.2,15236,21.58888888888889,0.042614513638703,0.0768914050437468,0.0342768914050437,1.5345856922285128,0.0463201235203293,1.435923829130211,0.0,0.0,0.3705609881626351,Serge Aurier,Serge,Aurier,£4.3,DEF,1.435923829130211,3.212593739866014
Shandon Baptiste,94,2,0,123,1,144.5,0.53,0.85,0.32,7.51,6,0,30.7,107.8,600,0,0,0,1,0,24840.0,4,54.0,29,35913,55024,1,23,£4.5,£4.5,£0.0,-19111,6.666666666666667,0.0795,0.1275,0.048,1.1264999999999998,0.0,0.8999999999999999,0.0,0.3,0.0,Shandon Baptiste,Shandon,Baptiste,£4.5,MID,0.8999999999999999,2.6892500000000004
Solly March,107,10,16,559,10,965.8,5.9,12.91,7.01,37.58,40,6,271.4,791.8,2719,0,0,0,0,0,568912.0,31,955.0,147,3895044,3289037,2,33,£5.0,£5.2,£0.2,606007,30.211111111111112,0.195292386906951,0.4273262228760573,0.2320338359691062,1.243913203383597,0.1986024273630011,1.3240161824200074,0.0,0.3310040456050018,0.5296064729680029,Solly March,Solly,March,£5.2,MID,1.3240161824200074,3.866035307098197
Son Heung-min,428,6,8,471,9,829.3,4.5600000000000005,14.36,9.8,42.74,55,10,244.7,709.2,2886,0,0,0,0,0,926591.0,33,910.0,152,1811142,3224415,2,36,£12.0,£11.5,£-0.5,-1413273,32.06666666666667,0.1422037422037422,0.4478170478170477,0.3056133056133056,1.3328482328482327,0.3118503118503118,1.715176715176715,0.0,0.1871101871101871,0.2494802494802494,Son Heung-min,Son,Heung-min,£11.5,MID,1.715176715176715,4.037629937629937
Stefan Bajcetic,564,0,0,85,3,61.7,0.47,1.26,0.79,6.800000000000001,4,1,22.8,90.2,522,0,0,0,0,0,6131.0,6,77.0,22,65114,39845,2,11,£4.5,£4.3,£-0.2,25269,5.8,0.0810344827586206,0.2172413793103448,0.1362068965517241,1.1724137931034484,0.1724137931034483,0.6896551724137931,0.0,0.0,0.0,Stefan Bajcetic,Stefan,Bajcetic,£4.3,MID,0.6896551724137931,2.8931034482758617
Steve Cook,379,0,0,149,2,39.3,0.59,0.72,0.13,15.15,21,0,24.4,177.4,956,0,0,0,0,0,12637.0,11,28.0,20,12536,23123,4,12,£4.5,£4.3,£-0.2,-10587,10.622222222222222,0.0555439330543933,0.0677824267782426,0.0122384937238493,1.426255230125523,0.0,1.9769874476987448,0.0,0.0,0.0,Steve Cook,Steve,Cook,£4.3,DEF,1.9769874476987448,2.877416509541786
Stuart Armstrong,405,2,2,221,1,282.8,2.73,5.04,2.31,28.64,34,2,78.60000000000001,234.2,1391,0,0,0,0,0,8504.0,14,267.0,57,16049,22116,6,32,£5.0,£4.7,£-0.3,-6067,15.455555555555556,0.1766355140186916,0.3260963335729691,0.1494608195542775,1.853055355859094,0.1294033069734004,2.1998562185478074,0.0,0.1294033069734004,0.1294033069734004,Stuart Armstrong,Stuart,Armstrong,£4.7,MID,2.1998562185478074,3.156218547807333
Sven Botman,377,2,8,666,13,120.1,1.09,3.84,2.75,38.0,30,0,98.1,554.4,3127,0,0,0,0,0,489487.0,35,303.0,129,1617887,947557,2,36,£4.5,£4.5,£0.0,670330,34.74444444444445,0.0313719219699392,0.1105212663895107,0.0791493444195714,1.093700031979533,0.0,0.8634473936680523,0.0,0.0575631595778701,0.2302526383114806,Sven Botman,Sven,Botman,£4.5,DEF,0.8634473936680523,3.884211792022707
Sékou Mara,528,2,0,90,0,77.5,0.31,1.33,1.02,9.39,10,1,33.9,104.8,538,0,0,0,0,0,9973.0,4,169.0,32,24742,28386,1,22,£5.5,£5.3,£-0.2,-3644,5.977777777777778,0.0518587360594795,0.2224907063197026,0.170631970260223,1.570817843866171,0.1672862453531598,1.6728624535315986,0.0,0.3345724907063197,0.0,Sékou Mara,Sékou,Mara,£5.3,FWD,1.6728624535315986,3.2554832713754647
Taiwo Awoniyi,397,1,16,320,5,129.6,0.29,7.15,6.86,26.43,29,10,87.8,375.8,1395,0,0,0,0,0,68643.0,17,378.0,100,281226,249351,2,27,£6.0,£5.6,£-0.4,31875,15.5,0.0187096774193548,0.4612903225806452,0.4425806451612903,1.7051612903225806,0.6451612903225806,1.870967741935484,0.0,0.064516129032258,1.032258064516129,Taiwo Awoniyi,Taiwo,Awoniyi,£5.6,FWD,1.8709677419354838,4.300322580645162
Takehiro Tomiyasu,14,1,0,173,2,86.6,0.23,0.47,0.24,8.93,11,0,27.7,137.0,651,0,0,0,0,0,73582.0,6,55.0,32,82997,216563,2,21,£4.5,£4.2,£-0.3,-133566,7.233333333333333,0.0317972350230414,0.0649769585253456,0.0331797235023041,1.234562211981567,0.0,1.5207373271889402,0.0,0.1382488479262673,0.0,Takehiro Tomiyasu,Takehiro,Tomiyasu,£4.2,DEF,1.5207373271889402,3.3736338917008837
Theo Walcott,400,2,1,140,2,159.1,1.52,3.91,2.39,24.71,30,2,52.1,164.6,1123,1,0,0,0,0,3419.0,13,199.0,49,9186,9118,1,20,£5.0,£4.8,£-0.2,68,12.477777777777778,0.1218165627782724,0.3133570792520035,0.191540516473731,1.980320569902048,0.1602849510240427,2.404274265360641,0.0,0.1602849510240427,0.0801424755120213,Theo Walcott,Theo,Walcott,£4.8,MID,2.404274265360641,3.3027159394479066
Thiago Alcántara do Nascimento,277,0,0,194,2,265.8,1.18,1.64,0.4599999999999999,21.41,23,0,59.8,244.4,1252,0,0,0,0,0,77816.0,14,86.0,30,104164,265336,2,18,£5.5,£5.1,£-0.4,-161172,13.911111111111111,0.0848242811501597,0.1178913738019169,0.0330670926517571,1.5390575079872204,0.0,1.6533546325878594,0.0,0.0,0.0,Thiago Alcántara do Nascimento,Thiago,Alcántara do Nascimento,£5.1,MID,1.6533546325878594,2.2099041533546324
Thiago Emiliano da Silva,128,2,8,524,6,86.1,1.04,2.58,1.54,34.83,32,0,88.0,657.2,2351,0,0,0,0,0,716836.0,26,137.0,80,1290069,1401873,2,27,£5.5,£5.4,£-0.1,-111804,26.122222222222224,0.039812845597618,0.098766482347937,0.058953636750319,1.33334751169715,0.0,1.2250106337728626,0.0,0.0765631646108039,0.3062526584432156,Thiago Emiliano da Silva,Thiago,Emiliano da Silva,£5.4,DEF,1.2250106337728626,3.4661208802707413
