player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90,full_name,first_name,second_name,now_cost,element_type,goals_conceded_per90,projected_points_per_90
Joe Worrall,388,0,2,366,5,66.39999999999999,0.55,1.4,0.85,44.46,44,1,62.5,471.0,2215,0,0,0,0,0,14259.0,21,92.0,61,35466,37177,6,30,£4.5,£4.2,£-0.3,-1711,24.61111111111111,0.0223476297968397,0.0568848758465011,0.0345372460496614,1.806501128668172,0.0406320541760722,1.7878103837471784,0.0,0.0,0.0812641083521444,Joe Worrall,Joe,Worrall,£4.2,DEF,1.7878103837471784,2.9221371321200023
Joel Matip,276,0,4,216,3,49.5,0.93,1.8,0.8700000000000001,16.46,20,1,36.2,223.4,1091,1,0,0,0,0,102771.0,12,90.0,36,165972,297119,3,14,£6.0,£5.9,£-0.1,-131147,12.122222222222222,0.0767186067827681,0.148487626031164,0.0717690192483959,1.3578368469294226,0.0824931255728689,1.6498625114573786,0.0,0.0,0.3299725022914757,Joel Matip,Joel,Matip,£5.9,DEF,1.6498625114573786,3.4764501236782426
Joel Ward,156,0,5,403,8,164.3,0.8300000000000001,1.95,1.12,32.15,35,1,71.6,436.2,2253,0,0,0,0,0,31823.0,24,114.0,78,98901,80087,6,28,£4.5,£4.4,£-0.1,18814,25.03333333333333,0.033155792276964,0.0778961384820239,0.0447403462050599,1.2842876165113182,0.0399467376830892,1.3981358189081223,0.0,0.0,0.199733688415446,Joel Ward,Joel,Ward,£4.4,DEF,1.3981358189081223,3.3516045985680982
Joelinton Cássio Apolinário de Lira,371,5,10,458,11,413.1,1.9,9.01,7.11,32.27,26,6,167.3,603.4,2660,0,0,0,0,0,121323.0,30,655.0,115,919725,576619,12,32,£6.0,£6.0,£0.0,343106,29.55555555555556,0.0642857142857142,0.3048496240601503,0.2405639097744361,1.091842105263158,0.2030075187969924,0.8796992481203008,0.0,0.169172932330827,0.3383458646616541,Joelinton Cássio Apolinário de Lira,Joelinton Cássio,Apolinário de Lira,£6.0,MID,0.8796992481203008,3.4591165413533833
John McGinn,37,5,3,354,10,349.2,3.33,5.73,2.4,37.73,31,1,105.1,375.0,2692,0,0,0,0,0,75623.0,30,326.0,90,70613,187391,7,34,£5.5,£5.1,£-0.4,-116778,29.91111111111111,0.1113298662704309,0.1915676077265973,0.0802377414561664,1.2614041604754829,0.0334323922734026,1.036404160475483,0.0,0.1671619613670133,0.100297176820208,John McGinn,John,McGinn,£5.1,MID,1.036404160475483,2.701913075780089
John Stones,302,2,13,422,7,164.1,0.97,2.0,1.03,13.56,17,2,69.6,396.0,1844,1,0,0,0,0,345880.0,21,135.0,93,2034793,977238,2,23,£5.5,£5.6,£0.1,1057555,20.488888888888887,0.0473427331887201,0.0976138828633405,0.0502711496746203,0.661822125813449,0.0976138828633405,0.8297180043383948,0.0,0.0976138828633405,0.6344902386117137,John Stones,John,Stones,£5.6,DEF,0.8297180043383948,4.565255404672689
Jonathan Castro Otto,477,0,0,219,5,118.2,0.8300000000000001,1.13,0.3,18.32,21,1,43.7,233.2,1257,0,0,0,1,0,53387.0,14,83.0,45,119713,164228,3,18,£4.5,£4.3,£-0.2,-44515,13.966666666666669,0.0594272076372315,0.0809069212410501,0.0214797136038186,1.3116945107398568,0.071599045346062,1.503579952267303,0.0,0.0,0.0,Jonathan Castro Otto,Jonathan,Castro Otto,£4.3,DEF,1.503579952267303,3.3517691353141204
Jonjo Shelvey,349,0,0,67,1,102.1,0.66,0.8500000000000001,0.19,11.62,11,0,16.3,55.6,573,0,0,0,0,0,2521.0,6,11.0,16,2925,6031,2,11,£5.0,£4.8,£-0.2,-3106,6.366666666666666,0.1036649214659686,0.1335078534031414,0.0298429319371727,1.8251308900523564,0.0,1.7277486910994766,0.0,0.0,0.0,Jonjo Shelvey,Jonjo,Shelvey,£4.8,MID,1.7277486910994766,2.230104712041885
Jonny Evans,249,0,0,191,2,20.6,0.18,0.35,0.17,19.79,28,0,27.9,223.8,1051,0,0,0,0,0,21026.0,12,35.0,20,17352,37166,1,13,£4.5,£4.4,£-0.1,-19814,11.677777777777775,0.0154138915318744,0.0299714557564224,0.014557564224548,1.6946717411988583,0.0,2.3977164605137964,0.0,0.0,0.0,Jonny Evans,Jonny,Evans,£4.4,DEF,2.3977164605137964,2.615963239987736
Jordan Ayew,159,3,4,332,8,465.5,2.52,5.65,3.13,41.13,41,4,138.7,490.8,2708,0,0,0,0,0,32073.0,31,429.0,104,104067,93947,5,38,£5.5,£5.2,£-0.3,10120,30.08888888888889,0.083751846381093,0.1877769571639586,0.1040251107828655,1.366949778434269,0.1329394387001477,1.362629246676514,0.0,0.0997045790251107,0.1329394387001477,Jordan Ayew,Jordan,Ayew,£5.2,MID,1.362629246676514,2.867596011816839
Jordan Henderson,275,3,0,401,8,506.1,3.59,4.930000000000001,1.35,31.96,30,0,99.1,307.4,2060,0,0,0,0,0,63702.0,23,174.0,69,78199,133795,2,35,£5.5,£5.3,£-0.2,-55596,22.88888888888889,0.1568446601941747,0.2153883495145631,0.0589805825242718,1.3963106796116505,0.0,1.3106796116504855,0.0,0.1310679611650485,0.0,Jordan Henderson,Jordan,Henderson,£5.3,MID,1.3106796116504855,2.5793203883495144
